from,to
790,1120
690,1110
1100,1200
1751,1830
1761,1820
3081,1953
2960,1954
1820,1951
4216,2436
4217,2437
4214,2434
4211,2431
4215,2435
4213,2433
4219,2439
4218,2438
4212,2432
3060,2926
3070,2928
3040,2924
3082,2927
3020,2922
3050,2925
3010,2921
3030,2923
3090,2929
3135,3035
3149,3059
3161,3081
3148,3062
3143,3052
3132,3032
4221,3057
3112,3012
3134,3034
3147,3061
3199,3099
3159,3079
3124,3024
3145,3055
3144,3053
3141,3049
3123,3023
3121,3021
3139,3039
3133,3033
3111,3011
3151,3071
3191,3091
3131,3031
3142,3051
3129,3029
3141,3041
3162,3082
3169,3089
3122,3022
3146,3056
3153,3073
3152,3072
3145,3054
3230,3140
3220,3120
3210,3110
3240,3150
3591,3130
3351,3269
3311,3211
3339,3239
3351,3261
3353,3264
3314,3214
3317,3217
3340,3240
3351,3262
3352,3263
3322,3222
3332,3232
3331,3231
3319,3250
3313,3213
3321,3221
3315,3215
3312,3212
3329,3229
3316,3216
3319,3219
3471,3371
3422,3322
3491,3399
3481,3383
3421,3321
3433,3333
3472,3373
3431,3331
3460,3360
3451,3351
3792,3392
3432,3332
3482,3382
3411,3311
3459,3359
3452,3352
3423,3323
3481,3381
3429,3329
3412,3312
3424,3324
3453,3353
3452,3372
3592,3391
3479,3379
3440,3340
3489,3389
3589,3489
3541,3441
3571,3462
3530,3433
3521,3421
3530,3435
3573,3464
3513,3413
3582,3482
3560,3461
4151,3471
3551,3451
3575,3466
3542,3442
3514,3414
3581,3481
3544,3444
3577,3467
3583,3484
4159,3479
4153,3473
3530,3434
3523,3423
3552,3459
3574,3465
3582,3483
3530,3432
3576,3468
3519,3419
3579,3490
4152,3472
4155,3475
3529,3429
3530,3431
3543,3443
3512,3412
3524,3424
3530,3439
3525,3425
4154,3474
3572,3463
3511,3411
3519,3415
3552,3452
3522,3422
3681,3581
3641,3541
3612,3514
3633,3534
3642,3542
3623,3523
3683,3583
3649,3549
3675,3575
3684,3584
3659,3554
3624,3524
3652,3552
3646,3546
3651,3551
3613,3513
3695,3595
3622,3522
3643,3543
3672,3572
3645,3545
3662,3562
3631,3533
3615,3516
3612,3512
3686,3586
3661,3561
3644,3544
3679,3577
3611,3511
3676,3576
3689,3589
3653,3553
3631,3531
3697,3597
3632,3532
3696,3596
3679,3579
3621,3521
3614,3515
3693,3593
3671,3571
3682,3582
3691,3591
3629,3529
3625,3525
3685,3585
3699,3599
3692,3592
3673,3573
3674,3574
3694,3594
3722,3620
3724,3650
3725,3660
3721,3610
3721,3630
3723,3640
3669,3743
3969,3869
3959,3859
3933,3833
3979,3879
3912,3812
3955,3855
3931,3831
3971,3871
3911,3811
3696,3891
3929,3825
