from,to
110221,110114
110224,110115
110227,110116
110226,110117
120222,120114
120224,120115
130282,130207
130221,130208
130230,130209
142401,140702
142421,140721
142422,140722
142423,140723
142424,140724
142427,140725
142429,140726
142431,140728
142433,140729
142402,140781
142724,140821
142725,140822
142729,140823
142727,140824
142726,140825
142731,140826
142733,140827
142730,140828
142732,140829
142723,140830
142702,140881
142703,140882
142222,140921
142223,140922
142225,140923
142226,140924
142227,140925
142228,140926
142229,140927
142230,140928
142231,140929
142232,140930
142233,140931
142234,140932
142202,140981
142621,141021
142622,141022
142623,141023
142625,141024
142627,141025
142628,141026
142629,141027
142630,141028
142631,141029
142633,141030
142635,141031
142634,141032
142636,141034
142602,141081
142603,141082
142302,141102
142322,141121
142323,141122
142325,141123
152801,141124
142327,141125
142328,141126
142329,141127
142330,141128
142332,141129
142333,141130
142301,141181
142303,141182
152322,150521
152323,150522
152324,150523
152325,150524
152326,150525
152327,150526
152302,150581
152722,150621
152723,150622
152724,150623
152725,150624
152726,150625
152727,150626
152728,150627
152101,150702
152122,150721
152123,150722
152127,150723
152128,150724
152131,150725
152130,150726
152129,150727
152102,150781
152104,150782
152103,150783
152106,150784
152105,150785
362502,150802
152822,150821
152823,150822
152824,150823
152825,150824
152826,150825
152827,150826
152601,150902
152624,150921
152625,150922
152626,150923
152627,150924
152629,150925
152630,150926
152631,150927
152632,150928
152634,150929
152602,150981
220625,220605
230106,230110
230121,230111
230181,230112
232324,231221
232325,231222
232326,231223
232330,231224
232331,231225
232332,231226
232302,231281
232303,231282
232304,231283
310229,310118
310226,310120
320121,320115
320123,320116
320283,320205
320323,320312
320483,320412
320584,320509
320683,320612
320882,320803
320821,320804
320928,320903
321027,321003
321088,321012
321121,321112
321321,321311
330181,330109
330184,330110
330227,330212
330721,330703
330821,330803
332522,331121
332526,331122
332527,331123
332528,331124
332523,331125
332525,331126
332529,331127
332502,331181
342622,340124
342601,340181
342623,340225
342625,340522
342626,340523
342401,341502
342422,341521
342423,341522
342425,341523
342426,341524
342427,341525
341223,341621
341224,341622
341227,341623
342901,341702
342921,341721
342922,341722
342923,341723
342501,341802
342522,341821
342523,341822
342529,341823
342531,341824
342530,341825
342502,341881
350321,350304
352225,350921
352227,350922
352228,350923
352229,350924
352230,350925
352231,350926
352202,350981
352203,350982
362401,360802
362421,360821
362422,360822
362423,360823
362424,360824
362425,360825
362426,360826
362427,360827
362428,360828
362429,360829
362430,360830
362402,360881
362201,360902
362226,360921
362227,360922
362228,360923
362229,360924
362232,360925
362233,360926
362202,360981
362203,360982
362204,360983
142326,361002
362522,361021
362523,361022
362524,361023
362525,361024
362526,361025
362527,361026
362528,361027
362529,361028
362531,361029
362532,361030
362301,361102
362321,361121
362322,361122
362323,361123
362324,361124
362325,361125
362326,361126
362329,361127
362331,361129
362334,361130
362302,361181
370123,370113
372321,371621
372323,371622
372324,371623
372325,371624
372328,371625
372330,371626
372925,371722
372924,371723
372926,371724
372928,371725
372929,371726
372923,371727
372930,371728
411123,411103
412721,411621
412722,411622
412723,411623
412728,411624
412726,411625
412727,411626
412724,411627
412725,411628
412702,411681
412824,411721
412825,411722
412827,411723
412829,411724
412821,411725
412822,411726
412826,411727
412823,411728
412828,411729
410881,419001
420521,420506
420983,421381
430122,430112
430402,430405
430403,430406
430411,430408
432501,431302
432522,431321
432524,431322
432502,431381
432503,431382
440181,440113
440182,440114
440221,440205
440421,440403
440506,440512
440582,440513
440583,440515
440682,440605
440681,440606
440683,440607
440684,440608
440782,440705
441381,441303
450106,450107
450121,450109
452126,450123
452127,450124
452124,450125
452123,450126
452122,450127
452223,450223
452227,450224
452229,450225
452228,450226
452622,451021
452623,451022
452624,451023
452625,451024
452626,451025
452627,451026
452628,451027
452629,451028
452630,451029
452632,451030
452631,451031
452424,451121
452427,451122
452428,451123
452725,451221
452726,451222
452727,451223
452728,451224
452723,451225
452724,451226
452729,451227
452730,451228
452731,451229
452702,451281
452231,451321
452224,451322
452225,451323
452230,451324
452201,451381
452128,451421
452132,451422
452133,451423
452130,451424
452131,451425
452101,451481
460104,460105
460004,460107
460037,460321
460038,460322
460039,460323
460001,469001
460002,469002
460003,469003
460005,469005
460006,469006
460007,469007
460025,469021
460026,469022
460027,469023
460028,469024
460030,469025
460031,469026
460033,469027
460034,469028
460035,469029
460036,469030
500239,500114
500221,500115
500381,500116
500382,500117
500383,500118
500384,500119
510125,510114
510123,510115
513021,510903
510902,510904
513822,511421
513823,511422
513824,511423
513825,511424
513826,511425
511522,511503
513022,511722
513023,511723
513029,511724
513030,511725
513002,511781
513122,511803
513123,511822
513124,511823
513125,511824
513126,511825
513127,511826
513128,511827
513721,511921
513722,511922
513723,511923
513921,512021
513922,512022
513902,512081
520202,520222
522526,520421
522527,520422
522529,520423
522528,520424
522530,520425
522422,520521
522423,520522
522424,520523
522425,520524
522426,520525
522427,520526
522428,520527
522230,520603
522222,520621
522223,520622
522224,520623
522225,520624
522226,520625
522227,520626
522228,520627
522229,520628
530121,530114
533022,530521
533023,530522
533024,530523
533025,530524
532122,530621
532123,530622
532124,530623
532125,530624
532126,530625
532127,530626
532128,530627
532129,530628
532130,530629
532131,530630
533222,530722
533223,530723
533224,530724
532701,530802
532723,530822
532724,530823
532725,530824
532726,530825
532727,530826
532728,530827
532729,530828
532730,530829
533522,530921
533524,530923
533525,530924
533526,530925
533527,530926
533528,530927
532522,532503
622626,532601
610121,610116
610221,610204
610321,610304
612722,610821
612723,610822
612724,610823
612725,610824
612726,610825
612727,610826
612728,610827
612729,610828
612730,610829
612731,610830
612732,610831
612422,610921
612423,610922
612424,610923
612425,610924
612426,610925
612427,610926
612428,610927
612429,610928
612430,610929
612501,611002
612522,611021
612523,611022
612524,611023
612525,611024
612526,611025
612527,611026
622301,620602
622322,620621
622323,620622
622326,620623
622201,620702
622222,620721
622223,620722
622224,620723
622225,620724
622226,620725
622701,620802
622722,620821
622723,620822
622724,620823
622725,620824
622726,620825
622727,620826
622102,620902
622123,620921
622124,620923
622125,620924
622101,620981
622103,620982
622801,621002
622821,621021
622822,621022
622823,621023
622824,621024
622825,621025
622826,621026
622827,621027
622424,621121
622425,621122
622426,621123
622427,621124
622428,621125
622429,621126
622621,621202
532621,621222
622623,621223
622625,621224
622627,621225
622628,621226
622630,621227
622629,621228
632124,630122
632125,630123
640382,640181
640223,640205
642223,640422
642224,640423
642225,640424
642226,640425
640322,640521
642222,640522
652303,650109
654101,654002
654001,654003
654121,654021
654122,654022
654123,654023
654124,654024
654125,654025
654126,654026
654127,654027
654128,654028
